# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800B2F8	0x0800B31F	thumb	IsSioMultiMaster
0x0800B320	0x0800B32F	thumb	IsLinkConnectionEstablished
0x0800B330	0x0800B33B	thumb	SetSuppressLinkErrorMessage
0x0800B33C	0x0800B347	thumb	HasLinkErrorOccurred
0x0800B348	0x0800B3A3	thumb	LocalLinkPlayerToBlock
0x0800B3A4	0x0800B40B	thumb	LinkPlayerFromBlock
0x0800B40C	0x0800B487	thumb	HandleLinkConnection
0x0800B488	0x0800B4A3	thumb	SetWirelessCommType1
0x0800B4A4	0x0800B4BF	thumb	SetWirelessCommType0_Internal
0x0800B4C0	0x0800B4DB	thumb	SetWirelessCommType0
0x0800B4DC	0x0800B503	thumb	GetLinkRecvQueueLength
0x0800B504	0x0800B517	thumb	IsLinkRecvQueueAtOverworldMax
0x0800B518	0x0800B523	thumb	GetWirelessCommType
0x0800B524	0x0800B539	thumb	ConvertLinkPlayerName
0x0800B53C	0x0800B593	thumb	DisableSerial
0x0800B594	0x0800B627	thumb	EnableSerial
0x0800B628	0x0800B635	thumb	ResetSerial
0x0800B638	0x0800B761	thumb	LinkMain1
0x0800B764	0x0800B78F	thumb	CheckMasterOrSlave
0x0800B790	0x0800B7BF	thumb	InitTimer
