# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x0800B33C	thumb	HasLinkErrorOccurred
0x0800B348	thumb	LocalLinkPlayerToBlock
0x0800B3A4	thumb	LinkPlayerFromBlock
0x0800B40C	thumb	HandleLinkConnection
0x0800B488	thumb	SetWirelessCommType1
0x0800B4A4	thumb	SetWirelessCommType0_Internal
0x0800B4C0	thumb	SetWirelessCommType0
0x0800B4DC	thumb	GetLinkRecvQueueLength
0x0800B504	thumb	IsLinkRecvQueueAtOverworldMax
0x0800B518	thumb	GetWirelessCommType
0x0800B524	thumb	ConvertLinkPlayerName
0x0800B53C	thumb	DisableSerial
0x0800B594	thumb	EnableSerial
0x0800B628	thumb	ResetSerial
0x0800B638	thumb	LinkMain1
0x0800B764	thumb	CheckMasterOrSlave
0x0800B790	thumb	InitTimer
0x0800B7C0	thumb	EnqueueSendCmd
0x0800B8A8	thumb	DequeueRecvCmds
0x0800B9B8	thumb	LinkVSync
0x0800BA28	thumb	Timer3Intr
0x0800BA38	thumb	SerialCB
0x0800BAC0	thumb	StartTransfer
0x0800BAD0	thumb	DoHandshake
0x0800BBCC	thumb	DoRecv
0x0800BCE4	thumb	DoSend
0x0800BD98	thumb	StopTimer
0x0800BDCC	thumb	SendRecvDone
0x0800BDFC	thumb	ResetSendBuffer
0x0800BE50	thumb	ResetRecvBuffer
0x0800BEC0	thumb	rfu_LMAN_REQBN_softReset_and_checkID
0x0800BF0C	thumb	rfu_LMAN_REQ_sendData
0x0800BF4C	thumb	rfu_LMAN_initializeManager
0x0800BFA0	thumb	rfu_LMAN_endManager
0x0800BFCC	thumb	rfu_LMAN_initializeRFU
0x0800C000	thumb	rfu_LMAN_clearVariables
0x0800C048	thumb	rfu_LMAN_powerDownRFU
0x0800C054	thumb	rfu_LMAN_establishConnection
0x0800C12C	thumb	rfu_LMAN_CHILD_connectParent
0x0800C210	thumb	rfu_LMAN_PARENT_stopWaitLinkRecoveryAndDisconnect
0x0800C27C	thumb	rfu_LMAN_stopManager
0x0800C36C	thumb	rfu_LMAN_linkWatcher
0x0800C530	thumb	rfu_LMAN_syncVBlank
0x0800C54C	thumb	rfu_LMAN_manager_entity
0x0800C744	thumb	rfu_LMAN_settingPCSWITCH
0x0800C7B4	thumb	rfu_LMAN_REQ_callback
0x0800CEB0	thumb	rfu_LMAN_MSC_callback
0x0800CF34	thumb	rfu_LMAN_PARENT_checkRecvChildName
0x0800D158	thumb	rfu_LMAN_CHILD_checkSendChildName
0x0800D20C	thumb	rfu_LMAN_CHILD_checkSendChildName2
0x0800D268	thumb	rfu_LMAN_CHILD_linkRecoveryProcess
0x0800D294	thumb	rfu_LMAN_CHILD_checkEnableParentCandidate
0x0800D30C	thumb	rfu_LMAN_occureCallback
0x0800D334	thumb	rfu_LMAN_disconnect
0x0800D358	thumb	rfu_LMAN_reflectCommunicationStatus
0x0800D434	thumb	rfu_LMAN_checkNICommunicateStatus
0x0800D52C	thumb	rfu_LMAN_setMSCCallback
0x0800D544	thumb	rfu_LMAN_setLMANCallback
0x0800D550	thumb	rfu_LMAN_setLinkRecovery
0x0800D594	thumb	rfu_LMAN_setNIFailCounterLimit
0x0800D5D0	thumb	rfu_LMAN_setFastSearchParent
0x0800D610	thumb	rfu_LMAN_managerChangeAgbClockMaster
0x0800D630	thumb	rfu_LMAN_requestChangeAgbClockMaster
0x0800D658	thumb	rfu_LMAN_forceChangeSP
0x0800D6C8	thumb	RfuRecvQueue_Reset
0x0800D724	thumb	RfuSendQueue_Reset
0x0800D780	thumb	RfuUnusedQueue_Reset
0x0800D7D8	thumb	RfuRecvQueue_Enqueue
0x0800D888	thumb	RfuSendQueue_Enqueue
0x0800D934	thumb	RfuRecvQueue_Dequeue
0x0800D9DC	thumb	RfuSendQueue_Dequeue
0x0800DA68	thumb	RfuBackupQueue_Enqueue
0x0800DAC8	thumb	RfuBackupQueue_Dequeue
0x0800DB18	thumb	RfuUnusedQueue_Enqueue
0x0800DB84	thumb	RfuUnusedQueue_Dequeue
0x0800DBF8	thumb	PopulateArrayWithSequence
0x0800DCB4	thumb	PkmnStrToASCII
0x0800DCE8	thumb	ASCIIToPkmnStr
0x0800DD1C	thumb	GetConnectedChildStrength
0x0800DD94	thumb	InitHostRfuGameData
0x0800DE7C	thumb	Rfu_GetCompatiblePlayerData
0x0800DF34	thumb	Rfu_GetWonderDistributorPlayerData
0x0800DF90	thumb	CopyHostRfuGameDataAndUsername
0x0800DFB4	thumb	CreateWirelessStatusIndicatorSprite
0x0800E084	thumb	DestroyWirelessStatusIndicatorSprite
0x0800E0E8	thumb	LoadWirelessStatusIndicatorSpriteGfx
0x0800E124	thumb	GetParentSignalStrength
0x0800E15C	thumb	SetWirelessStatusIndicatorAnim
0x0800E174	thumb	UpdateWirelessStatusIndicatorSprite
0x0800E378	thumb	CopyTrainerRecord
0x0800E388	thumb	NameIsNotEmpty
0x0800E3A8	thumb	SaveLinkTrainerNames
0x0800E540	thumb	PlayerHasMetTrainerBefore
0x0800E5AC	thumb	WipeTrainerNameRecords
0x0800E5FC	thumb	Debug_PrintString
0x0800E600	thumb	Debug_PrintNum
0x0800E604	thumb	ResetLinkRfuGFLayer
0x0800E6D0	thumb	InitRFU
0x0800E700	thumb	InitRFUAPI
0x0800E748	thumb	Task_ParentSearchForChildren
0x0800E87C	thumb	Rfu_GetIndexOfNewestChild
0x0800E88C	thumb	SetLinkPlayerIdsFromSlots
0x0800E94C	thumb	Task_ChildSearchForParent
0x0800EAB4	thumb	InitChildRecvBuffers
0x0800EAFC	thumb	InitParentSendData
0x0800EB44	thumb	Task_UnionRoomListen
0x0800ED10	thumb	LinkRfu_CreateConnectionAsParent
0x0800ED28	thumb	LinkRfu_StopManagerBeforeEnteringChat
0x0800ED34	thumb	MSCCallback_Child
0x0800EDBC	thumb	MSCCallback_Parent
0x0800EDD4	thumb	LinkRfu_Shutdown
0x0800EE78	thumb	CreateTask_ParentSearchForChildren
0x0800EE94	thumb	CanTryReconnectParent
0x0800EEBC	thumb	TryReconnectParent
0x0800EF00	thumb	CreateTask_ChildSearchForParent
0x0800EF1C	thumb	LmanAcceptSlotFlagIsNotZero
0x0800EF38	thumb	LinkRfu_StopManagerAndFinalizeSlots
0x0800EF58	thumb	WaitRfuState
0x0800EF7C	thumb	StopUnionRoomLinkManager
0x0800EF88	thumb	ReadySendDataForSlots
0x0800EFB0	thumb	ReadAllPlayerRecvCmds
0x0800F014	thumb	MoveSendCmdToRecv
0x0800F048	thumb	UpdateBackupQueue
0x0800F0B8	thumb	IsRfuRecvQueueEmpty
0x0800F0F8	thumb	RfuMain1_Parent
0x0800F1E0	thumb	RfuMain2_Parent
0x0800F498	thumb	ChildBuildSendCmd
0x0800F4F0	thumb	RfuMain1_Child
0x0800F638	thumb	HandleSendFailure
0x0800F6FC	thumb	Rfu_SetBlockReceivedFlag
0x0800F728	thumb	Rfu_ResetBlockReceivedFlag
0x0800F74C	thumb	LoadLinkPlayerIds
0x0800F794	thumb	SendKeysToRfu
0x0800F7DC	thumb	GetHostRfuGameData
0x0800F7E4	thumb	IsSendingKeysToRfu
