# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800FDE8	0x080101F7	thumb	sub_0800FDE8
0x080101F8	0x080104BB	thumb	sub_080101F8
0x080104BC	0x08010527	thumb	sub_080104BC
0x08010528	0x0801059B	thumb	sub_08010528
0x0801059C	0x080105F3	thumb	sub_0801059C
0x080105F4	0x08010623	thumb	sub_080105F4
0x08010624	0x080106CB	thumb	sub_08010624
0x080106CC	0x08010807	thumb	sub_080106CC
0x08010808	0x0801084B	thumb	sub_08010808
0x0801084C	0x0801097B	thumb	sub_0801084C
0x0801097C	0x08010A3F	thumb	sub_0801097C
0x08010A40	0x08010C47	thumb	sub_08010A40
0x08010C48	0x08010F57	thumb	sub_08010C48
0x08010F58	0x0801124B	thumb	sub_08010F58
0x0801124C	0x08011563	thumb	sub_0801124C
0x08011564	0x080115C3	thumb	sub_08011564
0x080115C4	0x080117C3	thumb	sub_080115C4
0x080117C4	0x080118CF	thumb	sub_080117C4
0x080118D0	0x08011A3F	thumb	sub_080118D0
0x08011A40	0x08011A7F	thumb	sub_08011A40
0x08011A80	0x08011ABB	thumb	sub_08011A80
0x08011ABC	0x08011BA3	thumb	sub_08011ABC
0x08011BA4	0x08011C57	thumb	sub_08011BA4
0x08011C58	0x08011DA3	thumb	sub_08011C58
0x08011DA4	0x08011EBF	thumb	sub_08011DA4
0x08011EC0	0x08011F17	thumb	sub_08011EC0
0x08011F18	0x08011F73	thumb	sub_08011F18
0x08011F74	0x08012027	thumb	sub_08011F74
0x08012028	0x080120F3	thumb	draw_background
0x080120F4	0x0801216B	thumb	sub_080120F4
0x0801216C	0x080121CF	thumb	sub_0801216C
0x080121D0	0x0801220F	thumb	sub_080121D0
0x08012210	0x08012237	thumb	sub_08012210
0x08012238	0x0801230B	thumb	sub_08012238
0x0801230C	0x08012353	thumb	sub_0801230C
0x08012354	0x080123AF	thumb	sub_08012354
0x080123B0	0x08012407	thumb	sub_080123B0
0x08012408	0x08012463	thumb	sub_08012408
0x08012464	0x080124BF	thumb	sub_08012464
0x080124C0	0x080124F7	thumb	sub_080124C0
0x080124F8	0x0801258F	thumb	sub_080124F8
0x08012590	0x0801263B	thumb	sub_08012590
0x0801263C	0x0801278F	thumb	sub_0801263C
0x08012790	0x080127BB	thumb	sub_08012790
0x080127BC	0x0801282F	thumb	sub_080127BC
0x08012830	0x080129BB	thumb	sub_08012830
0x080129BC	0x08012ACF	thumb	sub_080129BC
0x08012AD0	0x08012BD7	thumb	sub_08012AD0
0x08012BD8	0x08012C1B	thumb	sub_08012BD8
0x08012C1C	0x08012C47	thumb	sub_08012C1C
0x08012C48	0x08012CBB	thumb	sub_08012C48
0x08012CBC	0x08012CEB	thumb	sub_08012CBC
0x08012CEC	0x08012D4F	thumb	sub_08012CEC
0x08012D50	0x08012DAF	thumb	sub_08012D50
0x08012DB0	0x08012E4F	thumb	sub_08012DB0
0x08012E50	0x08012EA7	thumb	sub_08012E50
0x08012EA8	0x08012F2B	thumb	sub_08012EA8
0x08012F2C	0x08012FBB	thumb	sub_08012F2C
0x08012FBC	0x080131AF	thumb	sub_08012FBC
0x080131B0	0x0801339F	thumb	sub_080131B0
0x080133A0	0x080133D7	thumb	sub_080133A0
0x080133D8	0x08013577	thumb	sub_080133D8
0x08013578	0x080135AB	thumb	sub_08013578
0x080135AC	0x0801365B	thumb	sub_080135AC
0x0801365C	0x0801368B	thumb	sub_0801365C
0x0801368C	0x080136BB	thumb	sub_0801368C
0x080136BC	0x08013747	thumb	sub_080136BC
0x08013748	0x08013777	thumb	sub_08013748
0x08013778	0x080137A7	thumb	sub_08013778
0x080137A8	0x0801387F	thumb	sub_080137A8
0x08013880	0x080138FB	thumb	sub_08013880
0x080138FC	0x08013997	thumb	sub_080138FC
0x08013998	0x080139AB	thumb	sub_08013998
0x080139AC	0x080139FB	thumb	sub_080139AC
0x080139FC	0x08013A33	thumb	sub_080139FC
0x08013A34	0x08013A3F	thumb	sub_08013A34
0x08013A40	0x08013B6B	thumb	sub_08013A40
0x08013B6C	0x08013C47	thumb	sub_08013B6C
0x08013C48	0x08013CC7	thumb	sub_08013C48
0x08013CC8	0x08013D37	thumb	sub_08013CC8
0x08013D38	0x08013EB7	thumb	sub_08013D38
0x08013EB8	0x0801402B	thumb	sub_08013EB8
0x0801402C	0x08014073	thumb	sub_0801402C
0x08014074	0x080140CF	thumb	sub_08014074
0x080140D0	0x080141CF	thumb	sub_080140D0
0x080141D0	0x08014243	thumb	sub_080141D0
0x08014244	0x080142EF	thumb	sub_08014244
0x080142F0	0x0801439B	thumb	sub_080142F0
0x0801439C	0x08014463	thumb	sub_0801439C
0x08014464	0x080144E7	thumb	sub_08014464
0x080144E8	0x08014583	thumb	sub_080144E8
0x08014584	0x080145A7	thumb	sub_08014584
