# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08016CBC	thumb	sub_08016CBC
0x08016D08	thumb	sub_08016D08
0x08016D54	thumb	sub_08016D54
0x08016E44	thumb	sub_08016E44
0x08016E64	thumb	sub_08016E64
0x08016EE8	thumb	sub_08016EE8
0x08016F1C	thumb	sub_08016F1C
0x08016F4C	thumb	sub_08016F4C
0x08016F68	thumb	sub_08016F68
0x080172D4	thumb	sub_080172D4
0x080173B8	thumb	sub_080173B8
0x08017488	thumb	sub_08017488
0x08017584	thumb	sub_08017584
0x08017648	thumb	sub_08017648
0x080177D0	thumb	sub_080177D0
0x080179A8	thumb	sub_080179A8
0x08017A4C	thumb	sub_08017A4C
0x08017B84	thumb	sub_08017B84
0x08017D28	thumb	sub_08017D28
0x08017E64	thumb	sub_08017E64
0x08017F48	thumb	sub_08017F48
0x08017F90	thumb	sub_08017F90
0x0801856C	thumb	sub_0801856C
0x08018630	thumb	sub_08018630
0x08018694	thumb	sub_08018694
0x0801870C	thumb	sub_0801870C
0x080187C4	thumb	sub_080187C4
0x08018818	thumb	sub_08018818
0x08018880	thumb	sub_08018880
0x08018910	thumb	sub_08018910
0x08018988	thumb	sub_08018988
0x08018AC4	thumb	sub_08018AC4
0x08018B30	thumb	sub_08018B30
0x08018ED0	thumb	sub_08018ED0
0x08018F9C	thumb	sub_08018F9C
0x08019078	thumb	sub_08019078
0x080190B8	thumb	sub_080190B8
0x08019274	thumb	sub_08019274
0x08019320	thumb	sub_08019320
0x080193CC	thumb	sub_080193CC
0x08019408	thumb	sub_08019408
0x0801952C	thumb	sub_0801952C
0x080195B0	thumb	sub_080195B0
0x0801960C	thumb	sub_0801960C
0x0801965C	thumb	sub_0801965C
0x080198A4	thumb	sub_080198A4
0x080199C8	thumb	sub_080199C8
0x08019B88	thumb	sub_08019B88
0x08019BF0	thumb	sub_08019BF0
0x08019D04	thumb	sub_08019D04
0x08019D9C	thumb	sub_08019D9C
0x08019E40	thumb	sub_08019E40
0x08019EE8	thumb	sub_08019EE8
0x08019F44	thumb	sub_08019F44
0x08019F90	thumb	sub_08019F90
0x08019FE4	thumb	sub_08019FE4
0x0801A1B8	thumb	sub_0801A1B8
0x0801A218	thumb	sub_0801A218
0x0801A238	thumb	sub_0801A238
0x0801A2B4	thumb	sub_0801A2B4
0x0801A2DC	thumb	sub_0801A2DC
0x0801A3AC	thumb	sub_0801A3AC
0x0801A3D8	thumb	sub_0801A3D8
0x0801A434	thumb	sub_0801A434
0x0801A530	thumb	sub_0801A530
0x0801A548	thumb	sub_0801A548
0x0801A57C	thumb	sub_0801A57C
0x0801A594	thumb	sub_0801A594
0x0801A5C0	thumb	sub_0801A5C0
0x0801A5EC	thumb	sub_0801A5EC
0x0801A604	thumb	sub_0801A604
0x0801A61C	thumb	sub_0801A61C
0x0801A638	thumb	sub_0801A638
0x0801A650	thumb	sub_0801A650
0x0801A678	thumb	sub_0801A678
0x0801A694	thumb	sub_0801A694
0x0801A6AC	thumb	sub_0801A6AC
0x0801A6C4	thumb	sub_0801A6C4
0x0801A6D8	thumb	sub_0801A6D8
0x0801A764	thumb	sub_0801A764
0x0801A7AC	thumb	sub_0801A7AC
0x0801A7CC	thumb	sub_0801A7CC
0x0801A868	thumb	sub_0801A868
0x0801A904	thumb	sub_0801A904
0x0801A978	thumb	sub_0801A978
0x0801A9D8	thumb	sub_0801A9D8
0x0801AA1C	thumb	sub_0801AA1C
0x0801AA70	thumb	sub_0801AA70
0x0801AAB0	thumb	sub_0801AAB0
0x0801AB00	thumb	sub_0801AB00
0x0801AB38	thumb	sub_0801AB38
0x0801AB50	thumb	sub_0801AB50
0x0801AD4C	thumb	sub_0801AD4C
0x0801AD84	thumb	sub_0801AD84
0x0801ADA0	thumb	sub_0801ADA0
0x0801ADCC	thumb	sub_0801ADCC
0x0801AE18	thumb	sub_0801AE18
0x0801AE58	thumb	sub_0801AE58
0x0801AF00	thumb	sub_0801AF00
0x0801AFA4	thumb	sub_0801AFA4
0x0801B040	thumb	sub_0801B040
0x0801B0C4	thumb	getFirstDoorOnMap
0x0801B0F8	thumb	sub_0801B0F8
0x0801B144	thumb	sub_0801B144
0x0801B1BC	thumb	sub_0801B1BC
0x0801B2D4	thumb	isMapGraphicsValid
0x0801B314	thumb	sub_0801B314
0x0801B3A4	thumb	getMusicIDForRoom
0x0801B3B4	thumb	getMapLayerAlphaInfo
0x0801B3D8	thumb	getMapGraphicsInfo
